run_number	current	charge	trigger_id	livetime	trigger_counts	trigger_events	elist	Kinematic
1539	18.12	10232.3	DL.bit2	1	796	796	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1539_0_5.root	11
1540	5.38	3892.59	DL.bit2	0.998839	1723	1721	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1540_1_5.root	11_1st
1541	4.88	2405.83	DL.bit2	1	1072	1072	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1541_1_5.root	11_1st
1542	5.12	3696.09	DL.bit2	0.999354	1548	1547	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1542_1_5.root	11_1st
1543	14.12	1140.7	DL.bit2	1	407	407	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1543_1_5.root	11_1st
1543	10.12	3546.94	DL.bit2	0.999275	1379	1378	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1543_2_5.root	11_1st
1543	4.62	7110.48	DL.bit2	0.999052	3164	3161	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1543_3_5.root	11_1st
1544	10.12	899.231	DL.bit2	1	337	337	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1544_0_5.root	11
1545	20.12	6496.42	DL.bit2	1	2163	2163	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1545_1_5.root	11_1st
1545	17.62	1199.61	DL.bit2	0.997519	403	402	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1545_2_5.root	11_1st
1545	15.12	3432.49	DL.bit2	0.997394	1151	1148	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1545_3_5.root	11_1st
1545	10.12	2797.57	DL.bit2	1	1021	1021	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1545_4_5.root	11_1st
1545	4.88	782.761	DL.bit2	0.996933	326	325	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1545_5_5.root	11_1st
1546	15.12	5507.35	DL.bit2	1	1918	1918	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1546_1_5.root	11_1st
1546	10.12	1542.77	DL.bit2	1	590	590	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1546_2_5.root	11_1st
1547	20.12	5814.57	DL.bit2	0.995923	1962	1954	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1547_1_5.root	11_1st
1550	10.12	14394	DL.bit2	0.998175	12057	12035	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1550_0_5.root	11
1552	22.12	11583.9	DL.bit2	0.996324	816	813	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1552_0_5.root	11
1552	17.62	1163.95	DL.bit2	1	89	89	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1552_1_5.root	11
1552	10.12	431.803	DL.bit2	1	45	45	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1552_2_5.root	11
1552	4.62	499.174	DL.bit2	1	79	79	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1552_3_5.root	11
1553	22.12	29766	DL.bit2	0.996605	23862	23781	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1553_0_5.root	11
1554	2.38	262.119	DL.bit2	0	75	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1554_0_5.root	11
